time;truth;sensor;kalman
11800;12,2792;13,4799;14,3415
11820;12,4491;13,6342;14,5277
11840;12,7698;13,84;14,6924
11860;12,7698;13,9944;14,8273
11880;13,034;14,1487;14,9384
11900;13,034;14,6975;15,1305
11920;13,2792;14,8004;15,2823
11940;13,4302;14,4403;15,2842
11960;13,4302;14,9548;15,3795
11980;13,5811;15,0062;15,4414
12000;13,5811;15,0062;15,4641
12020;13,7132;15,0062;15,4552
12040;13,6943;14,5946;15,3182
12060;13,6943;15,4693;15,398
12080;13,7132;15,4693;15,4477
12100;13,7132;14,6118;15,257
12120;13,7321;15,0062;15,1768
12140;13,7132;15,0062;15,0962
12160;13,7132;15,0062;15,0179
12180;13,6566;15,0062;14,944
12200;13,6566;14,5946;14,7724
12220;13,6566;15,0577;14,7393
12240;13,6755;15,0577;14,7114
12260;13,6755;14,6461;14,5855
12280;13,6755;14,6461;14,4802
12300;13,6755;14,6461;14,3945
12320;13,7698;15,1091;14,4438
12340;13,7698;15,1091;14,4937
12360;13,7698;15,1091;14,5439
12380;13,7698;15,1091;14,594
12400;13,7698;14,6975;14,54
12420;13,7698;15,1606;14,6164
12440;13,8453;14,749;14,5849
12460;13,8453;15,1606;14,6672
12480;13,8453;14,7147;14,6315
12500;13,8453;14,6461;14,5882
12520;13,8075;14,5946;14,543
12540;13,7698;14,9548;14,6001
12560;13,7698;14,4403;14,5246
12580;13,7132;14,3888;14,4511
12600;13,7132;14,3031;14,3711
12620;13,5434;14,2345;14,2901
12640;13,4679;14,1487;14,2044
12660;13,4679;13,6342;14,0069
12680;13,2792;13,5313;13,8173
12700;13,2792;13,84;13,7399
12720;13,166;13,2912;13,5439
12740;12,9962;13,1197;13,3413
12760;12,9962;13,377;13,2423
12780;12,7698;13,1712;13,1171
12800;12,7698;12,0564;12,7403
12820;12,4491;11,7992;12,3637
12840;12,0906;11,5591;11,9944
12860;12,0906;11,2332;11,6122
12880;11,6943;10,9931;11,2431
12900;11,6943;11,096;10,9741
12920;11,2038;10,3243;10,5728
12940;10,6377;9,9641;10,1627
12960;10,6377;9,6726;9,7645
12980;10,1283;9,3124;9,3615
13000;10,1283;9,0552;8,9821
13020;9,5623;8,7636;8,6163
13040;9,034;8,4035;8,2464
13060;9,034;8,0948;7,8871
13080;8,5057;7,7861;7,5381
13100;8,5057;7,0315;7,0864
13120;7,883;7,2373;6,7893
13140;7,3925;6,517;6,3932
13160;7,3925;6,2597;6,0287
13180;6,9208;6,0711;5,7095
13200;6,9208;5,8481;5,4212
13220;6,5434;5,7109;5,1809
13240;6,2226;5,951;5,0768
13260;6,2226;5,3508;4,8771
13280;5,9019;5,1964;4,7054
13300;5,9019;5,5394;4,6821
13320;5,6377;5,4537;4,6767
13340;5,4302;4,9392;4,5759
13360;5,4302;5,4022;4,6366
13380;5,3358;4,8878;4,5878
13400;5,3358;4,8878;4,5713
13420;5,2981;5,3508;4,697
13440;5,2792;4,8534;4,7006
13460;5,2792;4,8363;4,7166
13480;5,2415;4,8363;4,7455
13500;5,2415;4,8363;4,7832
13520;5,2226;5,3508;4,956
13540;5,2226;5,3508;5,1133
13560;5,2226;4,8878;5,1372
13580;5,2415;5,4022;5,2901
13600;5,2415;4,9392;5,3059
13620;5,317;5,4537;5,448
13640;5,3547;4,9906;5,451
13660;5,3547;5,5051;5,579
13680;5,4113;5,608;5,71
13700;5,4113;5,7624;5,855
13720;5,4868;5,4022;5,8808
13740;5,7132;6,0711;6,0621
13760;5,7132;5,7624;6,1303
13780;5,9774;6,4656;6,355
13800;5,9774;6,6714;6,5883
13820;6,2792;6,4656;6,7235
13840;6,6566;7,1858;7,0063
13860;6,6566;7,4431;7,2984
13880;6,9962;7,7518;7,6098
13900;6,9962;7,9919;7,9185
13920;7,5245;8,7636;8,357
13940;7,9774;8,5578;8,659
13960;7,9774;8,8494;8,9661
13980;8,5434;9,1752;9,2848
14000;8,5434;9,8269;9,6943
14020;8,9962;10,1356;10,0941
14040;9,5623;10,0327;10,3798
14060;9,5623;10,3414;10,6693
14080;10,0528;10,633;10,9571
14100;10,0528;10,8902;11,2343
14120;10,5623;11,1475;11,502
14140;11,0151;11,7992;11,8607
14160;11,0151;11,6105;12,0856
14180;11,3736;12,3137;12,4197
14200;11,3736;12,5195;12,7226
14220;11,7887;13,1883;13,1151
