time,cm
17660, 15.8537
17680, 16.4314
17700, 17.0075
17720, 17.6458
17740, 18.2186
17760, 18.79
17780, 19.2333
17800, 19.5494
17820, 19.8651
17840, 19.9912
17860, 20.0542
17880, 20.0542
17900, 20.0542
17920, 19.9281
17940, 19.8651
17960, 19.8651
17980, 19.8651
18000, 19.8651
18020, 19.9281
18040, 19.9281
18060, 19.8651
18080, 19.8651
18100, 19.802
18120, 19.802
18140, 19.802
18160, 19.802
18180, 19.802
18200, 19.802
18220, 19.7389
18240, 19.6757
18260, 19.5494
18280, 19.4862
18300, 19.3598
18320, 19.2333
18340, 19.1067
18360, 18.9801
18380, 18.79
18400, 18.5997
18420, 18.2822
18440, 17.9642
18460, 17.582
18480, 17.1991
18500, 16.6876
18520, 16.1748
18540, 15.6609
18560, 15.0522
18580, 14.5022
18600, 13.9535
18620, 13.4061
18640, 12.9282
18660, 12.5193
18680, 12.1112
18700, 11.7038
18720, 11.3648
18740, 10.8911
18760, 10.4183
18780, 9.9466
18800, 9.4086
18820, 8.9389
18840, 8.4701
18860, 8.1359
18880, 7.8021
18900, 7.5355
18920, 7.3357
18940, 7.2026
18960, 7.1361
18980, 7.0696
19000, 6.9367
19020, 6.8038
19040, 6.671
19060, 6.5383
19080, 6.4057
19100, 6.3394
19120, 6.2069
19140, 6.1407
19160, 6.0745
19180, 6.0083
19200, 5.9421
19220, 5.876
19240, 5.8098
19260, 5.7437
19280, 5.6776
19300, 5.6115
19320, 5.6776
19340, 5.6776
19360, 5.7437
19380, 5.7437
19400, 5.7437
19420, 5.8098
19440, 5.8098
19460, 5.876
19480, 5.876
19500, 5.9421
19520, 6.0083
19540, 6.0745
19560, 6.2069
19580, 6.2731
19600, 6.4057
19620, 6.671
19640, 6.9367
19660, 7.2692
19680, 7.6021
19700, 7.9356
19720, 8.3364
19740, 8.6709
19760, 9.073
19780, 9.4086
19800, 9.812
19820, 10.1486
19840, 10.4858
19860, 10.9587
19880, 11.4326
19900, 11.9074
19920, 12.4512
19940, 12.9282
19960, 13.4744
19980, 14.022
20000, 14.5709
20020, 15.121
20040, 15.6609
20060, 16.1748
20080, 16.6876
20100, 17.1353
20120, 17.582
20140, 17.9642
20160, 18.4092
20180, 18.79
20200, 19.2333
20220, 19.6757
20240, 20.0542
20260, 20.4321
20280, 20.6836
20300, 20.9348
20320, 21.1231
20340, 21.1858
20360, 21.3111
20380, 21.3111
20400, 21.2484
20420, 21.2484
20440, 21.1858
20460, 21.1858
20480, 21.1858
20500, 21.1231
20520, 21.0603
20540, 20.9976
20560, 20.872
20580, 20.6836
20600, 20.4321
20620, 20.1803
20640, 19.9281
20660, 19.7389
20680, 19.4862
20700, 19.2333
20720, 19.0434
20740, 18.79
20760, 18.5362
20780, 18.2822
20800, 17.9642
20820, 17.582
20840, 17.1991
20860, 16.7516
20880, 16.3031
20900, 15.7895
20920, 15.3966
20940, 14.9834
20960, 14.5022
20980, 14.1591
21000, 13.6112
21020, 13.1329
21040, 12.6555
21060, 12.1792
21080, 11.7038
21100, 11.2294
21120, 10.8235
21140, 10.3509
21160, 9.9466
21180, 9.4758
21200, 9.073
21220, 8.6709
21240, 8.2695
21260, 7.8689
21280, 7.4689
21300, 7.1361
21320, 6.8702
21340, 6.671
21360, 6.472
21380, 6.3394
21400, 6.2069
21420, 6.0745
21440, 6.0083
21460, 5.9421
21480, 5.876
21500, 5.876
21520, 5.876
21540, 5.9421
21560, 5.9421
21580, 6.0083
21600, 6.0083
21620, 6.0083
21640, 6.0745
21660, 6.0083
21680, 6.0083
21700, 6.0083
21720, 6.0083
21740, 6.0745
21760, 6.1407
21780, 6.3394
21800, 6.6047
21820, 6.8702
21840, 7.1361
21860, 7.4023
21880, 7.6021
21900, 7.8689
21920, 8.1359
21940, 8.4701
21960, 8.8719
21980, 9.1401
22000, 9.543
22020, 9.8793
22040, 10.2835
22060, 10.7559
22080, 11.2971
22100, 11.7038
22120, 12.0432
22140, 12.3832
22160, 12.7237
22180, 13.0646
22200, 13.3378
22220, 13.6796
22240, 13.9535
22260, 14.2963
22280, 14.6396
22300, 14.9834
22320, 15.3277
22340, 15.6609
22360, 15.918
22380, 16.1107
22400, 16.239
22420, 16.3673
22440, 16.4955
22460, 16.6236
22480, 16.6876
22500, 16.8156
22520, 16.8796
22540, 17.0075
22560, 17.0714
22580, 17.1991
22600, 17.263
22620, 17.3907
22640, 17.5182
22660, 17.582
22680, 17.6458
22700, 17.7095
22720, 17.7095
22740, 17.7732
22760, 17.7732
22780, 17.7732
22800, 17.7732
22820, 17.7095
22840, 17.7095
22860, 17.7095
22880, 17.7095
22900, 17.7095
22920, 17.7095
22940, 17.7095
22960, 17.6458
22980, 17.6458
23000, 17.6458
23020, 17.6458
23040, 17.6458
23060, 17.6458
23080, 17.6458
23100, 17.6458
23120, 17.6458
23140, 17.582
23160, 17.6458
23180, 17.582
23200, 17.582
23220, 17.582
23240, 17.582
23260, 17.582
23280, 17.5182
23300, 17.5182
23320, 17.5182
23340, 17.5182
23360, 17.5182
23380, 17.5182
23400, 17.5182
23420, 17.5182
23440, 17.582
23460, 17.582
23480, 17.5182
23500, 17.5182
23520, 17.4545
23540, 17.4545
23560, 17.4545
23580, 17.4545
23600, 17.5182
23620, 17.5182
23640, 17.5182
23660, 17.5182
23680, 17.5182
23700, 17.5182
23720, 17.5182
23740, 17.5182
23760, 17.5182
23780, 17.5182
23800, 17.5182
23820, 17.5182
23840, 17.5182
23860, 17.5182
23880, 17.5182
23900, 17.5182
23920, 17.5182
23940, 17.5182
23960, 17.5182
23980, 17.5182
24000, 17.5182
24020, 17.5182
24040, 17.5182
24060, 17.5182
24080, 17.5182
24100, 17.5182
24120, 17.4545
24140, 17.5182
24160, 17.4545
24180, 17.5182
24200, 17.5182
24220, 17.5182
24240, 17.5182
24260, 17.5182
24280, 17.5182
24300, 17.5182
24320, 17.5182
24340, 17.5182
24360, 17.5182
24380, 17.5182
24400, 17.5182
24420, 17.5182
